cluster_label,feature,global_mean,cluster_mean,absolute_difference
2,hour_sin,-1.900456659249225e-17,-0.0825420558551445,0.08254205585514449
2,pollution_stagnation_index,2.6758429762229086e-16,0.04267046605230677,0.0426704660523065
3,month_cos,1.3379214881114543e-16,1.9154169711337328,1.9154169711337325
3,temperature_2m (°C),4.865169047678016e-17,-1.1089396313810274,1.1089396313810274
3,relative_humidity_2m (%),8.818118898916403e-17,0.7844452088052922,0.7844452088052921
3,month_sin,-9.730338095356031e-17,-0.7401292245980803,0.7401292245980802
3,total_generation_mw,9.730338095356031e-17,0.7280309180250638,0.7280309180250637
3,pollution_stagnation_index,2.6758429762229086e-16,0.4234910545349333,0.423491054534933
3,rain (mm),5.625351711377705e-17,-0.24345971710182196,0.24345971710182202
3,wind_x_vector,-2.432584523839008e-17,-0.21501517467660472,0.2150151746766047
3,wind_speed_10m (km/h),3.618469479210524e-16,-0.2018512701141213,0.20185127011412166
3,wind_y_vector,-3.04073065479876e-17,0.14484348138590167,0.1448434813859017
3,hour_sin,-1.900456659249225e-17,-0.007773966676984467,0.007773966676984448
3,hour_cos,-4.5610959821981395e-18,-0.006445619427810203,0.006445619427810198
4,wind_speed_10m (km/h),3.618469479210524e-16,-0.8027741469386828,0.8027741469386831
4,hour_cos,-4.5610959821981395e-18,0.74534740364437,0.74534740364437
4,hour_sin,-1.900456659249225e-17,0.7101014429119586,0.7101014429119586
4,pollution_stagnation_index,2.6758429762229086e-16,0.706025870380489,0.7060258703804888
4,month_sin,-9.730338095356031e-17,-0.6965033247272246,0.6965033247272245
4,total_generation_mw,9.730338095356031e-17,-0.34829528936452836,0.34829528936452847
4,month_cos,1.3379214881114543e-16,-0.3419775751649153,0.3419775751649154
4,relative_humidity_2m (%),8.818118898916403e-17,0.3208084930453553,0.3208084930453552
4,rain (mm),5.625351711377705e-17,-0.243459717101822,0.24345971710182204
4,wind_y_vector,-3.04073065479876e-17,0.1580483704203904,0.15804837042039044
4,temperature_2m (°C),4.865169047678016e-17,0.07732266645831799,0.07732266645831794
4,wind_x_vector,-2.432584523839008e-17,0.018157709608103,0.018157709608103024
